client_id,servicio_id,nombre_servicio,regdate,meses_activo,domainstatus,paymentmethod,billingcycle,total,state
1,308,CLOUD PLUS,2018-11-03,12.0,Suspended,banktransfer,Annually,249.0,Cochabamba
1,318,Llajwa - Hosting Plus,2018-12-26,12.0,Terminated,qr,Annually,299.0,Cochabamba
1,318,Llajwa - Hosting Plus,2018-12-26,12.0,Terminated,qr,Annually,299.0,Cochabamba
1,318,Llajwa - Hosting Plus,2018-12-26,12.0,Terminated,qr,Annually,299.0,Cochabamba
1,323,CLOUD PLUS,2018-12-29,61.0,Active,paypal,Annually,99.0,Cochabamba
1,323,CLOUD PLUS,2018-12-29,61.0,Active,paypal,Annually,99.0,Cochabamba
1,323,CLOUD PLUS,2018-12-29,61.0,Active,paypal,Annually,99.0,Cochabamba
1,338,SHARED TURBO XXL,2019-03-09,61.0,Pending,paypal,Annually,99.0,Cochabamba
1,401,UNLIMITED,2020-02-01,49.0,Active,paypal,Annually,99.0,Cochabamba
1,402,UNLIMITED,2020-02-01,49.0,Active,paypal,Annually,99.0,Cochabamba
1,461,SHARED TURBO L,2021-01-07,1.0,Pending,banktransfer,Annually,299.0,Cochabamba
1,461,SHARED TURBO L,2021-01-07,1.0,Pending,banktransfer,Annually,299.0,Cochabamba
1,461,SHARED TURBO L,2021-01-07,1.0,Pending,banktransfer,Annually,299.0,Cochabamba
1,461,SHARED TURBO L,2021-01-07,1.0,Pending,banktransfer,Annually,299.0,Cochabamba
1,462,SHARED TURBO XL,2021-01-07,1.0,Pending,walletbo,Annually,499.0,Cochabamba
1,462,SHARED TURBO XL,2021-01-07,1.0,Pending,walletbo,Annually,499.0,Cochabamba
1,462,SHARED TURBO XL,2021-01-07,1.0,Pending,walletbo,Annually,499.0,Cochabamba
1,462,SHARED TURBO XL,2021-01-07,1.0,Pending,walletbo,Annually,499.0,Cochabamba
1,463,SHARED TURBO XXL,2021-01-07,1.0,Pending,paypal,Annually,549.0,Cochabamba
1,464,SHARED TURBO L,2021-01-07,1.0,Pending,paypal,Annually,299.0,Cochabamba
1,484,CLOUD X5,2021-06-28,1.0,Pending,qr,Monthly,599.0,Cochabamba
1,485,CLOUD X5,2021-06-28,1.0,Pending,qr,Annually,599.0,Cochabamba
1,485,CLOUD X5,2021-06-28,1.0,Pending,qr,Annually,599.0,Cochabamba
1,485,CLOUD X5,2021-06-28,1.0,Pending,qr,Annually,599.0,Cochabamba
1,485,CLOUD X5,2021-06-28,1.0,Pending,qr,Annually,599.0,Cochabamba
1,485,CLOUD X5,2021-06-28,1.0,Pending,qr,Annually,599.0,Cochabamba
1,490,CLOUD X3,2021-07-09,12.0,Pending,banktransfer,Annually,290.0,Cochabamba
1,499,CLOUD X2,2021-08-03,1.0,Pending,banktransfer,Annually,339.0,Cochabamba
1,509,CLOUD X2,2021-08-31,12.0,Pending,qr,Annually,349.0,Cochabamba
1,575,CORREO L,2022-02-07,1.0,Pending,banktransfer,Annually,249.0,Cochabamba
1,576,CLOUD X3,2022-02-13,1.0,Pending,banktransfer,Quarterly,125.0,Cochabamba
1,577,CLOUD X3,2022-02-13,12.0,Pending,banktransfer,Quarterly,125.0,Cochabamba
1,577,CLOUD X3,2022-02-13,12.0,Pending,banktransfer,Quarterly,125.0,Cochabamba
1,577,CLOUD X3,2022-02-13,12.0,Pending,banktransfer,Quarterly,125.0,Cochabamba
1,577,CLOUD X3,2022-02-13,12.0,Pending,banktransfer,Quarterly,125.0,Cochabamba
1,590,LITE Free,2022-03-28,9.0,Pending,paypal,Free Account,99.0,Cochabamba
1,590,LITE Free,2022-03-28,9.0,Pending,paypal,Free Account,99.0,Cochabamba
1,590,LITE Free,2022-03-28,9.0,Pending,paypal,Free Account,99.0,Cochabamba
4,17,CLOUD X1,2017-07-11,49.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
4,17,CLOUD X1,2017-07-11,49.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
4,17,CLOUD X1,2017-07-11,49.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
4,17,CLOUD X1,2017-07-11,49.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
4,17,CLOUD X1,2017-07-11,49.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
4,17,CLOUD X1,2017-07-11,49.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
4,17,CLOUD X1,2017-07-11,49.0,Terminated,banktransfer,Annually,299.0,Santa Cruz
4,479,CLOUD X3,2021-05-24,1.0,Pending,walletbo,Annually,499.0,Santa Cruz
